t,x,y,yaw_deg,v,nearest_idx,target_idx,target_x,target_y,delta_deg,delta_rad
10.75,51.88986,13.27778,-64.18637,8.0,155,164,54.54423,5.20945,-5.4793266,-0.0956323
10.8,52.06404,12.91769,-64.94445,8.0,155,164,54.54423,5.20945,-5.2059327,-0.0908607
10.85,52.23343,12.55533,-65.66449,8.0,156,165,54.69464,4.26945,-5.6138998,-0.097981
10.9,52.39827,12.19087,-66.44131,8.0,156,165,54.69464,4.26945,-5.32901,-0.0930088
10.95,52.55814,11.82421,-67.17847,8.0,157,166,54.81515,3.32515,-5.725652,-0.0999315
11.0,52.71329,11.45553,-67.97086,8.0,157,166,54.81515,3.32515,-5.4303721,-0.0947779
11.05,52.86332,11.08473,-68.72212,8.0,158,167,54.90564,2.3775,-5.8167281,-0.1015211
11.1,53.00847,10.712,-69.5272,8.0,158,167,54.90564,2.3775,-5.5121088,-0.0962044
11.15,53.14838,10.33726,-70.28984,8.0,158,167,54.90564,2.3775,-5.2353462,-0.091374
11.2,53.28328,9.9607,-71.01398,8.0,159,168,54.96602,1.42746,-5.6411932,-0.0984574
11.25,53.41342,9.58246,-71.7946,8.0,159,168,54.96602,1.42746,-5.3532077,-0.0934311
11.3,53.53839,9.20248,-72.53513,8.0,160,169,54.99622,0.47598,-5.7479669,-0.1003209
11.35,53.65844,8.82092,-73.33062,8.0,160,169,54.99622,0.47598,-5.4498536,-0.0951179
11.4,53.77318,8.43773,-74.0846,8.0,161,170,54.99622,-0.47598,-5.8346078,-0.1018331
11.45,53.88286,8.05306,-74.89217,8.0,161,170,54.99622,-0.47598,-5.5274024,-0.0964714
11.5,53.98712,7.66689,-75.65694,8.0,161,170,54.99622,-0.47598,-5.2481417,-0.0915974
11.55,54.08621,7.27936,-76.38285,8.0,162,171,54.96602,-1.42746,-5.6529471,-0.0986625
11.6,54.18038,6.8906,-77.16511,8.0,162,171,54.96602,-1.42746,-5.3626566,-0.093596
11.65,54.26924,6.50059,-77.90695,8.0,163,172,54.90564,-2.3775,-5.7566639,-0.1004727
11.7,54.35304,6.10947,-78.70366,8.0,163,172,54.90564,-2.3775,-5.456426,-0.0952326
11.75,54.43139,5.71722,-79.45855,8.0,163,172,54.90564,-2.3775,-5.1837762,-0.090474
11.8,54.50457,5.32397,-80.17551,8.0,164,173,54.81515,-3.32515,-5.5966406,-0.0976798
11.85,54.57282,4.92984,-80.94993,8.0,164,173,54.81515,-3.32515,-5.312245,-0.0927162
11.9,54.63574,4.53482,-81.68476,8.0,165,174,54.69464,-4.26945,-5.7132904,-0.0997157
11.95,54.69359,4.13902,-82.47542,8.0,165,174,54.69464,-4.26945,-5.418284,-0.0945669
